Distance from Center (cmd=annotatePeaks.pl tss tair10 -size 1000 -hist 10 -fpkm -p ../pos_files/AtCAGEtss_filtered.pos ../pos_files/AtPEATtss_filtered.pos ../pos_files/AtOligo_tss_filtered.pos)	../pos_files/AtCAGEtss_filtered.pos	../pos_files/AtPEATtss_filtered.pos	../pos_files/AtOligo_tss_filtered.pos
-500	8.92936869363336e-05	0.000270857517040212	0.00141084025359407
-490	0.000250022323421734	0.000860195850820014	0.00386939310057446
-480	0.000255975235884156	0.000863172307051225	0.00366401762062089
-470	0.000208351936184778	0.000764949251421258	0.00356281810875971
-460	0.000279786885733845	0.000794713813733369	0.00343185403458642
-450	0.000327410185433223	0.000895913325594547	0.00339613655981189
-440	0.000255975235884156	0.000866148763282436	0.00341697175343037
-430	0.00031848081673959	0.000952465993987558	0.00363425305830878
-420	0.000321457272970801	0.00108045361192964	0.00391403994404262
-410	0.000252998779652945	0.000946513081525136	0.00410750959907135
-400	0.000351221835282912	0.00101199511861178	0.00436646129118671
-390	0.00037205702890139	0.00100604220614936	0.00425335595440069
-380	0.000386939310057446	0.00100604220614936	0.00453314284013454
-370	0.000449444890912879	0.001071524243236	0.0043366967288746
-360	0.000383962853826234	0.00120248831740929	0.00459564842098997
-350	0.000437539065988035	0.00109235943685448	0.0046045777896836
-340	0.000473256540762568	0.00110128880554811	0.00488436467541745
-330	0.000410750959907135	0.001071524243236	0.00486055302556776
-320	0.000422656784831979	0.00116081793017234	0.00489329404411108
-310	0.000529809209155579	0.00135428758520106	0.00540524451587939
-300	0.000577432508854957	0.00137214632258833	0.00544989135934756
-290	0.000434562609756824	0.0014197696222877	0.00577432508854957
-280	0.000520879840461946	0.00145548709706224	0.00502723457451558
-270	0.000583385421317379	0.00141084025359407	0.00548560883412209
-260	0.000729231776646724	0.00175015626395214	0.00647379230288419
-250	0.000672679108253713	0.00179777956365152	0.00680715540077983
-240	0.000720302407953091	0.00169360359555913	0.00667619132660654
