Distance from Center (cmd=annotatePeaks.pl tss tair10 -size 1000 -hist 10 -p ../pos_files/AtPEATtss_raw.pos ../pos_files/AtPEATtss_filtered.pos ../pos_files/AtPEATtss_belowThresh.pos)	../pos_files/AtPEATtss_raw.pos	../pos_files/AtPEATtss_filtered.pos	../pos_files/AtPEATtss_belowThresh.pos
20	0.0965830282465696	0.0256927701878144	0.0708902580587552
30	0.0931987975116826	0.0248206685120695	0.0683781289996131
40	0.0858082566895854	0.0210048516236569	0.0648034050659285
50	0.0772747566747031	0.0189094264368842	0.0583653302378189
60	0.0670774176265738	0.0150162216864601	0.0520611959401137
70	0.0581391195642468	0.0125130219960115	0.0456260975682353
80	0.0507485787421496	0.0101139982736554	0.0406345804684942
90	0.045396910438432	0.00861386433312498	0.036783046105307
100	0.0388725183796172	0.00681013185701104	0.0320623865226062
110	0.0342143643777718	0.00566419620799476	0.0285501681697771
120	0.0312408846027919	0.00506592850552133	0.0261749560972706
130	0.0284102747269101	0.00419085037354526	0.0242194243533649
140	0.0256838408191208	0.0037473583950948	0.021936482424026
150	0.0236360389320475	0.00352114772152275	0.0201148912105247
160	0.0221656695538292	0.00297943268744233	0.0191862368663869
170	0.0207488763877727	0.00254784653391672	0.018201029853856
180	0.0190255082299015	0.00241390600351222	0.0166116022263893
190	0.0180968538857636	0.00236032979135042	0.0157365240944132
200	0.0170134238176028	0.00189302616305027	0.0151203976545525
210	0.0159746405929101	0.00183647349465726	0.0141381670982528
220	0.015043009792541	0.0014733458344495	0.0135696639580915
230	0.0139536268119177	0.00155966306515463	0.0123939637467631
240	0.0140161323927732	0.00160430990862279	0.0124118224841504
250	0.0136827692948775	0.00154180432776736	0.0121409649671102
260	0.0135845462392476	0.00143465190344376	0.0121498943358038
270	0.0129892549930053	0.00114891210524749	0.0118403428877578
280	0.0115337678959431	0.00103878322469268	0.0104949846712504
290	0.0117748608506712	0.00105068904961753	0.0107241718010537
300	0.0108878768937703	0.000988183468762092	0.00989969342500819
310	0.0108313242253773	0.000943536625293925	0.00988778760008334
320	0.010179480310742	0.000875078131976069	0.00930440217876596
330	0.0108997827186951	0.0010179480310742	0.00988183468762092
340	0.0106170193767301	0.00102390094353663	0.00959311843319344
350	0.0102509152602911	0.000860195850820014	0.00939071940947108
360	0.0103669970533083	0.000916748519213025	0.00945024853409531
370	0.0100425633241063	0.00087805458820728	0.00916450873589904
380	0.00981039973807185	0.000931630800369081	0.00887876893770277
390	0.00965562401404887	0.00085126648212638	0.00880435753192249
400	0.00942048397178319	0.000758996338958836	0.00866148763282436
410	0.00923892014167932	0.000648867458404024	0.00859005268327529
420	0.00925082596660416	0.000666726195791291	0.00858409977081287
430	0.00929844926630354	0.000696490758103402	0.00860195850820014
440	0.00897103908087032	0.000738161145340358	0.00823287793552996
450	0.00922106140429205	0.000622079352323124	0.00859898205196893
460	0.00937286067208382	0.000791737357502158	0.00858112331458166
470	0.00928059052891627	0.000672679108253713	0.00860791142066256
480	0.00951870702741316	0.000756019882727625	0.00876268714468554
490	0.009474060183945	0.000767925707652469	0.00870613447629253
500	0.00456588385867786	0.000276810429502634	0.00428907342917522
