Distance from Center (cmd=annotatePeaks.pl tss tair10 -len 0 -size 1000 -hist 10 -p ../pos_files/AtCAGE_tss_raw.pos ../pos_files/AtCAGEtss_filtered.pos ../pos_files/AtCAGEtss_belowThresh.pos)	../pos_files/AtCAGE_tss_raw.pos	../pos_files/AtCAGEtss_filtered.pos	../pos_files/AtCAGEtss_belowThresh.pos
-500	0.0120100008929369	8.92936869363336e-05	0.0119207072060005
-490	0.0291395065035569	0.000250022323421734	0.0288894841801351
-480	0.0293151174211983	0.000255975235884156	0.0290591421853142
-470	0.0290412834479269	0.000208351936184778	0.0288329315117421
-460	0.0291365300473257	0.000279786885733845	0.0288567431615918
-450	0.0288865077239039	0.000327410185433223	0.0285590975384707
-440	0.0292853528588862	0.000255975235884156	0.0290293776230021
-430	0.0285501681697771	0.00031848081673959	0.0282316873530375
-420	0.0290889067476263	0.000321457272970801	0.0287674494746555
-410	0.0299788671607584	0.000252998779652945	0.0297258683811055
-400	0.029776468137036	0.000351221835282912	0.0294252463017531
-390	0.0303806887519719	0.00037205702890139	0.0300086317230705
-380	0.0300175610917641	0.000386939310057446	0.0296306217817067
-370	0.0300175610917641	0.000449444890912879	0.0295681162008513
-360	0.029874691192666	0.000383962853826234	0.0294907283388398
-350	0.0307229812185612	0.000437539065988035	0.0302854421525731
-340	0.0308628746614281	0.000473256540762568	0.0303896181206655
-330	0.0321487037533113	0.000410750959907135	0.0317379527934042
-320	0.0316724707563175	0.000422656784831979	0.0312498139714855
-310	0.0314343542578206	0.000529809209155579	0.0309045450486651
-300	0.0323808673393458	0.000577432508854957	0.0318034348304908
-290	0.0331487930469982	0.000434562609756824	0.0327142304372414
-280	0.033187486978004	0.000520879840461946	0.032666607137542
-270	0.0333720272643391	0.000583385421317379	0.0327886418430217
-260	0.0348334672738637	0.000729231776646724	0.034104235497217
-250	0.0348721612048695	0.000672679108253713	0.0341994820966158
-240	0.035809744917701	0.000720302407953091	0.0350894425097479
-230	0.036402059707712	0.000648867458404024	0.035753192249308
-220	0.0374616781260232	0.000628032264785546	0.0368336458612376
-210	0.0378902878233176	0.000714349495490669	0.0371759383278269
-200	0.0382742506771438	0.000693514301872191	0.0375807363752716
-190	0.0394826919070155	0.000761972795190047	0.0387207191118255
-180	0.039179093371432	0.000720302407953091	0.0384587909634789
-170	0.0405125457630146	0.000779831532577313	0.0397327142304372
-160	0.0407744739113611	0.000845313569663958	0.0399291603416972
-150	0.0418400452421347	0.000756019882727625	0.0410840253594071
-140	0.0418817156293717	0.000723278864184302	0.0411584367651874
-130	0.042506771437926	0.000613149983629491	0.0418936214542965
-120	0.0426794058993362	0.000532785665386791	0.0421466202339495
-110	0.0432687442331161	0.000547667946542846	0.0427210762865732
-100	0.0458820728041194	0.000547667946542846	0.0453344048575766
-90	0.0476887817364646	0.000538738577849213	0.0471500431586154
-80	0.0507217906360687	0.000735184689109147	0.0499866059469595
-70	0.0559038009346073	0.000848290025895169	0.0550555109087121
-60	0.0611751049200822	0.00109533589308569	0.0600797690269965
