Distance from Center (cmd=annotatePeaks.pl tss tair10 -size 1000 -hist 10 -fpkm -p ../pos_files/AtCAGEtss_belowThresh.pos ../pos_files/AtPEATtss_belowThresh.pos ../pos_files/AtOligo_tss_belowThresh.pos)	../pos_files/AtCAGEtss_belowThresh.pos	../pos_files/AtPEATtss_belowThresh.pos	../pos_files/AtOligo_tss_belowThresh.pos
-30	0.0839449950888472	0.028844837336667	0.0595886537488466
-20	0.0975503765217133	0.0378724290859303	0.0673066047563771
-10	0.114599517814091	0.0475756763996785	0.0803196713992321
0	0.192448730541417	0.094487603059797	0.122222222222222
10	0.160213709557401	0.0833556567550674	0.1119683305057
20	0.139170164002738	0.0708902580587552	0.0974938238533202
30	0.134580468494211	0.0683781289996131	0.0932642795487692
40	0.126201744203351	0.0648034050659285	0.087620918534393
50	0.118730839063012	0.0583653302378189	0.0782540107747716
60	0.108063219930351	0.0520611959401137	0.0695240646486293
70	0.0987856058576659	0.0456260975682353	0.062582968717445
80	0.0901896002619282	0.0406345804684942	0.0556597315236479
90	0.0851474834062565	0.036783046105307	0.0484090841444177
100	0.0791231359942852	0.0320623865226062	0.0427151233741108
110	0.0740214900139893	0.0285501681697771	0.039729737774206
120	0.0701997202131143	0.0261749560972706	0.0353930410453314
130	0.0676846146977409	0.0242194243533649	0.0321129862785368
140	0.0648867458404024	0.021936482424026	0.0293835759145162
150	0.0636515165044498	0.0201148912105247	0.0272851742715123
160	0.0625234395928208	0.0191862368663869	0.025011161710867
170	0.0605232610054469	0.018201029853856	0.0232490996219901
180	0.0594160192874364	0.0166116022263893	0.0216447897133673
190	0.060651248623389	0.0157365240944132	0.0200672679108254
200	0.0594755484120606	0.0151203976545525	0.0185195106705956
210	0.0582998482007322	0.0141381670982528	0.0174092924963538
220	0.0588683513408935	0.0135696639580915	0.0169509182367473
230	0.0568830550346757	0.0123939637467631	0.0164062267464357
240	0.0568890079471381	0.0124118224841504	0.0158287942375807
250	0.056633032711254	0.0121409649671102	0.014733458344495
260	0.0561597761704914	0.0121498943358038	0.0138881447748311
270	0.0564574217936125	0.0118403428877578	0.0137006280322648
280	0.0554573324999256	0.0104949846712504	0.0131142661547162
290	0.0548977587284579	0.0107241718010537	0.012745185582046
300	0.0547935827603655	0.00989969342500819	0.0121647766169598
310	0.0555882965740989	0.00988778760008334	0.0120635771050987
320	0.0553531565318332	0.00930440217876596	0.0120427419114802
330	0.0551150400333363	0.00988183468762092	0.0114712623150877
340	0.0552043337202726	0.00959311843319344	0.0113879215406137
350	0.0556061553114861	0.00939071940947108	0.011715331726047
360	0.05492752329077	0.00945024853409531	0.0113462511533768
370	0.0555882965740989	0.00916450873589904	0.0111557579545793
380	0.0552340982825848	0.00887876893770277	0.0112539810102092
390	0.0550674167336369	0.00880435753192249	0.0106616662201982
400	0.0540226805964818	0.00866148763282436	0.0112629103789029
410	0.0546655951424234	0.00859005268327529	0.0111319463047296
420	0.054278655832366	0.00858409977081287	0.0107182188885912
430	0.0540911390897997	0.00860195850820014	0.0103818793344644
440	0.0547876298479031	0.00823287793552996	0.0114206625591571
450	0.0539304104533143	0.00859898205196893	0.0108729946126142
460	0.0542191267077418	0.00858112331458166	0.0106765485013543
470	0.0550644402774057	0.00860791142066256	0.0107985832068339
480	0.0560317885525493	0.00876268714468554	0.0108938298062327
490	0.0546239247551865	0.00870613447629253	0.0109384766497009
500	0.027154210197339	0.00428907342917522	0.0054082209721106
