Distance from Center (cmd=annotatePeaks.pl tss tair10 -size 1000 -hist 10 -p ../pos_files/AtOligo_tss_raw.pos ../pos_files/AtOligo_tss_filtered.pos ../pos_files/AtOligo_tss_belowThresh.pos)	../pos_files/AtOligo_tss_raw.pos	../pos_files/AtOligo_tss_filtered.pos	../pos_files/AtOligo_tss_belowThresh.pos
-500	0.0050599755930589	0.00141084025359407	0.00364913533946483
-490	0.0127243503884275	0.00386939310057446	0.00885495728785308
-480	0.0124177753966128	0.00366401762062089	0.0087537577759919
-470	0.0120010715242432	0.00356281810875971	0.00843825341548353
-460	0.0119504717683126	0.00343185403458642	0.00851861773372622
-450	0.011715331726047	0.00339613655981189	0.00831919516623508
-440	0.0123165758847516	0.00341697175343037	0.00889960413132125
-430	0.0123850343780695	0.00363425305830878	0.00875078131976069
-420	0.0128493615501384	0.00391403994404262	0.00893532160609578
-410	0.0134178646902997	0.00410750959907135	0.00931035509122838
-400	0.0135101348334673	0.00436646129118671	0.00914367354228056
-390	0.0132065362978837	0.00425335595440069	0.00895318034348305
-380	0.0132779712474328	0.00453314284013454	0.00874482840729827
-370	0.01339405304045	0.0043366967288746	0.00905735631157544
-360	0.0136172872577909	0.00459564842098997	0.0090216388368009
-350	0.0136351459951781	0.0046045777896836	0.00903056820549454
-340	0.0144626008274548	0.00488436467541745	0.00957823615203738
-330	0.0147126231508766	0.00486055302556776	0.00985207012530881
-320	0.0145310593207727	0.00489329404411108	0.00963776527666161
-310	0.0148138226627377	0.00540524451587939	0.00940857814685835
-300	0.0153495847843557	0.00544989135934756	0.00989969342500819
-290	0.0159329702056731	0.00577432508854957	0.0101586451171236
-280	0.0159329702056731	0.00502723457451558	0.0109057356311575
-270	0.0156561597761705	0.00548560883412209	0.0101705509420484
-260	0.0175700211328392	0.00647379230288419	0.0110962288299551
-250	0.0177367026817871	0.00680715540077983	0.0109295472810072
-240	0.0176712206447004	0.00667619132660654	0.0109950293180939
-230	0.0180135131112897	0.00661666220198232	0.0113968509093074
-220	0.0188766854183409	0.0066642855016817	0.0122123999166592
-210	0.0201446557728369	0.00732208232877936	0.0128225734440575
-200	0.0209899693425008	0.0077893859570795	0.0132005833854213
-190	0.0222281751346846	0.00863172307051225	0.0135964520641724
-180	0.0226210673572045	0.00838170074709051	0.014239366610114
-170	0.0236509212132036	0.00892936869363336	0.0147215525195702
-160	0.0242462124594458	0.00923892014167932	0.0150072923177665
-150	0.0252820192279073	0.00890555704378367	0.0163764621841236
-140	0.0256987231002768	0.00866446408905557	0.0170342590112212
-130	0.0248206685120695	0.00840253594070899	0.0164181325713605
-120	0.024558740363723	0.00753341072119534	0.0170253296425276
-110	0.0258505223680686	0.00806321993035092	0.0177873024377177
-100	0.0281810875971069	0.00881626335684734	0.0193648242402595
-90	0.0315474595946067	0.00985802303777123	0.0216894365568354
-80	0.0364824240259547	0.0118314135190642	0.0246510105068905
-70	0.0436259189808614	0.0143108015596631	0.0293151174211983
-60	0.0514569753251778	0.0174837039021341	0.0339732714230437
-50	0.0621126886329137	0.0211060511355181	0.0410066374973956
-40	0.0747239336845552	0.0269309759799982	0.047792957704557
-30	0.0945709438342709	0.0349822900854243	0.0595886537488466
-20	0.111251004553978	0.043944399797601	0.0673066047563771
-10	0.140881626335685	0.0605619549364527	0.0803196713992321
0	0.27734023871179	0.155118016489568	0.122222222222222
10	0.225621335238265	0.113653004732565	0.1119683305057
20	0.186141619787481	0.0886477959341608	0.0974938238533202
30	0.176027621513826	0.0827633419650564	0.0932642795487692
40	0.159573771467691	0.0719528529332976	0.087620918534393
50	0.142822275798434	0.0645682650236628	0.0782540107747716
60	0.123010983123493	0.0534869184748638	0.0695240646486293
70	0.107333988153704	0.0447510194362592	0.062582968717445
80	0.0929487751882609	0.0372890436646129	0.0556597315236479
90	0.0805994582849659	0.0321903741405483	0.0484090841444177
100	0.0703187784623627	0.0276036550882519	0.0427151233741108
110	0.0621067357204512	0.0223769979462452	0.039729737774206
120	0.0547787004792095	0.019385659433878	0.0353930410453314
130	0.0487067297675388	0.016593743489002	0.0321129862785368
140	0.0439741643599131	0.0145905884453969	0.0293835759145162
150	0.0399351132541596	0.0126499389826473	0.0272851742715123
160	0.0367086346995267	0.0116974729886597	0.025011161710867
170	0.0337768253117838	0.0105277256897937	0.0232490996219901
180	0.0314700717325952	0.00982528201922791	0.0216447897133673
190	0.02890139000506	0.0088341220942346	0.0200672679108254
200	0.0259398160550049	0.00742030538440932	0.0185195106705956
210	0.0244634937643242	0.00705420126797035	0.0174092924963538
220	0.02344554573325	0.00649462749650266	0.0169509182367473
230	0.0219007649492514	0.00549453820281573	0.0164062267464357
240	0.0214304848647201	0.00560169062713933	0.0158287942375807
250	0.0201773967913802	0.00544393844688514	0.014733458344495
260	0.0190433669672887	0.00515522219245766	0.0138881447748311
270	0.0178438551061107	0.00414322707384588	0.0137006280322648
280	0.0174152454088163	0.00430097925410007	0.0131142661547162
290	0.0167544721254874	0.00400928654344138	0.012745185582046
300	0.0157424770068756	0.00357770038991577	0.0121647766169598
310	0.0156829478822514	0.00361937077715272	0.0120635771050987
320	0.0154984075959163	0.00345566568443611	0.0120427419114802
330	0.0150043158615353	0.0035330535464476	0.0114712623150877
340	0.0147513170818823	0.00336339554126857	0.0113879215406137
350	0.0149924100366104	0.00327707831056344	0.011715331726047
360	0.0147275054320326	0.00338125427865583	0.0113462511533768
370	0.0144536714587612	0.00329791350418192	0.0111557579545793
380	0.0142453195225764	0.00299133851236718	0.0112539810102092
