Distance from Center (cmd=annotatePeaks.pl tss tair10 -len 0 -size 1000 -hist 10 -p ../pos_files/AtCAGE_tss_raw.pos ../pos_files/AtPEATtss_raw.pos ../pos_files/AtOligo_tss_raw.pos)	../pos_files/AtCAGE_tss_raw.pos	../pos_files/AtPEATtss_raw.pos	../pos_files/AtOligo_tss_raw.pos
-500	0.0120100008929369	0.00210733101169747	0.0050599755930589
-490	0.0291395065035569	0.00554216150251511	0.0127243503884275
-480	0.0293151174211983	0.00580111319463047	0.0124177753966128
-470	0.0290412834479269	0.00520284549215704	0.0120010715242432
-460	0.0291365300473257	0.00538440932226092	0.0119504717683126
-450	0.0288865077239039	0.00535166830371759	0.011715331726047
-440	0.0292853528588862	0.00582194838824895	0.0123165758847516
-430	0.0285501681697771	0.00566419620799476	0.0123850343780695
-420	0.0290889067476263	0.00587254814417954	0.0128493615501384
-410	0.0299788671607584	0.00561061999583296	0.0134178646902997
-400	0.029776468137036	0.00568800785784445	0.0135101348334673
-390	0.0303806887519719	0.00566717266422597	0.0132065362978837
-380	0.0300175610917641	0.00597077119980951	0.0132779712474328
-370	0.0300175610917641	0.00614042920498854	0.01339405304045
-360	0.029874691192666	0.00621781706700003	0.0136172872577909
-350	0.0307229812185612	0.0063696163347918	0.0136351459951781
-340	0.0308628746614281	0.00617614667976307	0.0144626008274548
-330	0.0321487037533113	0.0063696163347918	0.0147126231508766
-320	0.0316724707563175	0.00627436973539304	0.0145310593207727
-310	0.0314343542578206	0.00675655564484924	0.0148138226627377
-300	0.0323808673393458	0.00665237967675685	0.0153495847843557
-290	0.0331487930469982	0.00688751971902253	0.0159329702056731
-280	0.033187486978004	0.00695597821234039	0.0159329702056731
-270	0.0333720272643391	0.00696490758103402	0.0156561597761705
-260	0.0348334672738637	0.00827454832276691	0.0175700211328392
-250	0.0348721612048695	0.00815251361728726	0.0177367026817871
-240	0.035809744917701	0.00790249129386552	0.0176712206447004
-230	0.036402059707712	0.00847099443402685	0.0180135131112897
-220	0.0374616781260232	0.00825073667291723	0.0188766854183409
-210	0.0378902878233176	0.00853052355865107	0.0201446557728369
-200	0.0382742506771438	0.00962288299550555	0.0209899693425008
