Distance from Center (cmd=annotatePeaks.pl /scratch/rtraborn/TSRchitect_plant_results/plant_genomic_data/A_thaliana/GROseq/GROseq_tagDirectory/tss.txt tair10 -size 4000 -hist 25 -d ESTtagDir CAGEtagDir PEATtagDir TokVectagDir)	ESTtagDir Coverage	ESTtagDir + Tags	ESTtagDir - Tags	CAGEtagDir Coverage	CAGEtagDir + Tags	CAGEtagDir - Tags	PEATtagDir Coverage	PEATtagDir + Tags	PEATtagDir - Tags	TokVectagDir Coverage	TokVectagDir + Tags	TokVectagDir - Tags
475	26.9030970854794	0.0530031166460194	0.0393507987220447	22.8833679851724	0.182771167764147	0.0645072895611509	16.3021399230627	0.0960830931733662	0.0179514572602201	6.70317185020867	0.0208474017082909	0.033912055812743
500	29.3123296602985	0.05139696159614	0.05139696159614	25.9954005181152	0.1671897307165	0.0620038860272191	16.3635739279745	0.10412425506944	0.0212121405750794	5.34172045815025	0.0205747408228501	0.0156006650583561
525	28.776944643672	0.0586246593205972	0.0562154267457781	30.0710984299128	0.108793897111493	0.0582393884070816	16.206081589186	0.103890976070941	0.0241356719045442	6.31047966790444	0.0471249527287016	0.0371979787442148
550	27.3046358479492	0.0546092716958987	0.0522000391210797	31.9528990464831	0.106946554084752	0.0720556301753393	15.9602295103353	0.103011827606441	0.0153598552520048	5.59891417269677	0.0226130794809972	0.0155144421986058
575	26.3677120688529	0.0481846514963813	0.0522000391210797	29.2459485346489	0.0966337875724081	0.0689281280563106	16.7189278650765	0.119397646215047	0.0192153419834384	5.62752906913457	0.0194935515420252	0.0108837451913671
600	24.8954032731302	0.0497908065462606	0.0433661863467432	27.7863481665802	0.0813913151202515	0.15364993153805	16.6689837212848	0.105945804264199	0.0183797157201537	5.9134889482939	0.0255041924757161	0.0142354697789669
625	24.4938645106603	0.0481846514963813	0.0473815739714416	23.2720228261304	0.0765743170111073	0.0730307491686221	16.4134987285657	0.0970162091673679	0.0187418204342436	6.76858273021561	0.0290930299276301	0.0161735932711755
650	25.1630957814434	0.0449723413966225	0.0481846514963813	26.0047000395707	0.185814279193853	0.115395996609477	16.0607561235365	0.093682988850486	0.0148062528525785	10.0928017213264	0.0667270391862893	0.0177267392580045
675	24.3600182565037	0.048987729021321	0.0481846514963813	26.9738641800504	0.136005268305366	0.0717477863988598	15.8670339701384	0.107518986764034	0.0158954684749297	10.2093034274402	0.0196599465345275	0.0145330899132825
700	25.2969420356	0.0465784964465019	0.0433661863467432	27.1526578457415	0.0806231075177366	0.0649421399230402	16.2690050205394	0.107391901936491	0.0175899328421462	10.1704022951023	0.0180720088674477	0.0579202060376883
